name,description
Lobby Bar @ Wall Street Hotel,"Chic atmosphere, sophisticated vibe, jazz music, upscale professionals, elegant ambiance."
The Full Shilling,"Classic, homey drinking establishment with a 101-year-old interior bar imported from Ireland."
Bar Tontine,"Cozy prohibition-era vibe, jazz music, diverse patrons, intimate speakeasy atmosphere."
Lounge on Pearl,"Chic, relaxed atmosphere; smooth jazz; sophisticated crowd; craft cocktails; low-lit."
The Wall Street Hotel,"Sophisticated, upscale ambiance; jazz music; professional crowd; elegant, refined vibe."
Industry Kitchen,"Industrial-chic New American restaurant offering wood-fired pizzas and mains, plus a river view."
Overstory,"Creative cocktails, wine & snacks in a retro-chic bar with a 64th-floor deck for panoramic views."
Crown Shy,"Polished, new American restaurant with global influences inside spacious room with high ceilings."
Watermark,"vibrant waterfront bar, lively atmosphere, DJs, diverse crowd, scenic views."
Tin Building Bar,"Acclaimed food hall with restaurants including Chinese, seafood, French & vegan, plus a market."
Cocktail Bar,"Sophisticated, intimate atmosphere; vibrant crowd; eclectic music; upscale, diverse demographic."
The Greens on The Rooftop at Pier 17,"Unique rooftop venue specializing in seasonal New American dishes, cocktails & creative desserts."
Heineken Riverdeck,"Lively riverside bar, upbeat atmosphere, pop music, young crowd."
Koko's,"Chic atmosphere, lively vibe, house music, trendy crowd, upscale setting."
Kokos at Pearl Alley,"Glamorous destination with river views offering light bites, plus negronis, martinis & wine."
La Guira,"Lively Latin vibes, tropical cocktails, energetic music, diverse crowd."
Social Cues Wynwood,"Vibrant bar with eclectic crowd, live DJ sets, and artsy ambiance."
Pine Box Rock Shop,"Bar & music venue in a former casket factory, with vegan-friendly snacks, cocktails & draft beer."
Syndicated Bar Theater Kitchen,"Movie theater showing recent classics, plus a restaurant & bar serving American fare & cocktails."
Ange Noir Cafe,"Hip coffee bar with premium grub, craft beer & organic wine, plus live music & local art."
Tiki Lodge,"Tropical-themed bar, vibrant atmosphere, eclectic music, young diverse crowd."
Otis,"Chic, cozy bar; vintage vibes; eclectic music; young professional crowd."
Mika,"Cozy, vibrant, eclectic music, artsy decor, attracts young professionals."
Hell Phone,"Speakeasy vibe, eclectic crowd, ambient lighting, jazz music, intimate atmosphere."
Sobre Masa,"Energetic vibe, Latin music, diverse crowd, lively decorations, vibrant atmosphere."
The Narrows,"Chic, intimate bar with electronic music, hipster vibe, Brooklyn crowd."
Tomo Japanese Fusion,An array of sushi shares the menu with teriyaki & noodle dishes at this standard Japanese eatery.
El Santo,"Lively, Latin-inspired atmosphere; vibrant decor; energetic crowd; Latin beats; diverse demographic."
Norwind's,Puerto Rican comfort foods & cocktails are offered in a funky setting with industrial elements.
The End,"Trendy speakeasy, intimate vibe, indie music, young professionals, craft cocktails."
La Cumbanchita Record Bar,"Vibrant, Latin music, lively, diverse, cozy, retro ambiance."
Farm To People,"Cozy, rustic atmosphere; indie vibes; eclectic tunes; young, eco-conscious crowd."
Nook,"Cozy, dim-lit, jazz tunes, intimate seating, mature crowd, sophisticated vibe."
BrookLAN,"Retro-gaming bar, laid-back atmosphere, 80s music, diverse young crowd."
The Bush,"chill, eclectic crowd, rustic décor, indie tunes, creative cocktails."
The Johnson's,"Cozy dive bar with retro vibes, eclectic music, and mixed crowd."
Heavy Woods,"This small, full-service coffee shop serves cocktails & New Orleans-style Southern fare at night."
The Sampler Bushwick,"Cozy, rustic bar offering microbrews & small-batch whiskeys paired with local pickles & cheese."
Santa Salsa,"Hip, casual eatery serving Venezuelan street food such as yuca fries, burgers & hot dogs."
Starr Bar,"Artsy hangout for cocktails & pub grub, plus live music, film screenings & fundraising events."
Pitanga,"Lively Latin bar, vibrant ambiance, salsa beats, diverse crowd."
Théâtre XIV by Company XIV,"Theatre XIV offers an elegant, burlesque-inspired, adult-centric, immersive experience."
Kings County Brewers Collective,"Lively brewery with craft beers, indie tunes, diverse crowd, relaxed vibe."
Carousel,"Energetic vibe, diverse crowd, eclectic music, cozy atmosphere, specialty cocktails."
Queen,"Cozy, inclusive bar with eclectic music and diverse, artsy crowd."
Pacha,"Energetic nightclub, pulsating beats, diverse crowd, vibrant, luxe atmosphere."
Cherry on Top,"Trendy rooftop bar, vibrant vibe, eclectic tunes, young professional demographic."
The Ten Bells Brooklyn,"Tapas, natural wine & cocktails offered in an old-school pub setup with a happening vibe."
Ra-Ra Rhino (speakeasy thru Dromedary Doughnuts,"Cozy, hidden speakeasy with eclectic tunes, hip crowd, vintage vibe."
Selva,"Jungle-themed, lively atmosphere, vibrant Latin music, diverse young crowd."
Left Hand Path,"Cozy dive bar, alternative vibe, eclectic music, diverse crowd, trendy spot."
Abe's Pagoda Bar,"Vibrant bar & happy hour haunt with Asian style décor serving skewers, hot dogs & bowls til 2am."
La Cantine,"This fashionable, French-inspired lunch spot morphs into a wine bar with small plates at night."
Milo's Yard,"Polished neighborhood bar with craft beer & international snacks, plus vintage pinball machines."
The Seneca,"Cozy neighborhood bar, chill vibes, indie music, diverse crowd, intimate atmosphere."
Aunt Ginny's,"Loaded fries, sandwiches, cocktails & beer in an easygoing bar with offbeat decor & a pool table."
La Canoa,"Vibrant, Latin beats, youthful crowd, colorful decor, lively atmosphere."
Seneca Fiesta Corporation,"Lively Latin hub, vibrant atmosphere, salsa beats, diverse crowd, festive energy."
I O Cafe,"Cozy, laid-back NYC bar with jazz music attracting diverse, artsy crowd."
Jones Bar,"Trendy Jones Bar exudes vibrant atmosphere, eclectic music, diverse crowd."
The View at Battery Park,"Harborside restaurant featuring traditional American plates, a beer garden & harborside patio bar."
White Horse Tavern - Financial District,"This laid-back, wood-paneled gathering place serves Irish pub grub & pints."
Margarita Bar NYC,"margaritas, Latin music, vibrant crowd, youthful ambiance."
The Beer Garden,"Lively, relaxed beer garden with diverse crowd, great music, communal vibes."
Five Iron Golf - FiDi,"Energetic golf-themed bar with diverse crowd, upbeat music, and sporty atmosphere."
The Dead Rabbit NYC,This 2-story spot combines a lunch taproom with a parlor serving small plates & vintage cocktails.
Fraunces Tavern,Renovated historic tavern with a George Washington link offering pub eats & live music.
Sky55 bar and grill,"Lively, trendy bar-grill with diverse crowd, upbeat music, energetic atmosphere."
Jingle Jangle,"Lively, eclectic bar; vibrant crowd; upbeat music; trendy, inclusive, energetic atmosphere."
A brand kumar Kumar,"Stylish, vibrant NYC bar; energetic, diverse crowd; hip-hop beats dominate."
The River Café,"Landmark eatery, newly renovated, offering a New American menu & stunning views of Manhattan."
The Osprey,"High-end hotel restaurant offering a menu of farm-to-table cuisines, plus an East River view."
Harriet's Rooftop,"Rooftop spot for fancy cocktails & choice bites on the roof of 1 Hotel, with Manhattan views."
Harriet's Lounge,"Chic rooftop bar, lively atmosphere, diverse crowd, hip-hop beats, skyline views."
The Bar at The Brooklyn Ice Cream Factory,"Classic ambiance, relaxed vibe, eclectic tunes, diverse crowd, cozy, welcoming."
GRAN ELÉCTRICA,"Gran Eléctrica offers a vibrant, festive atmosphere with Mexican beats and youthful crowd."
Grimaldi's Pizzeria,"Cozy, energetic pizzeria; vintage decor, relaxed vibe, soft jazz, diverse crowd."
Fulton Burger - Dumbo,"Casual, energetic vibe; diverse crowd; rock music plays."
bar56,"Bar56 is chic, vibrant, plays eclectic music- perfect for young professionals."
Time Out Market New York,"Bi-level waterfront hangout showcasing a curated lineup of local food and drinks, plus cultural events."
The Hull Sports Bar,"Energetic sports haven, bustling atmosphere, rock music, diverse crowd, game nights."
Seamore’s,"Energetic, coastal vibes, seafood-driven, upbeat music, young professionals, casual."
Main Street Landing,"Cozy vibes, eclectic music, mixed crowd, intimate ambiance."
Superfine,"Local, seasonal Mediterranean fare is offered in a converted warehouse space with an open kitchen."
AlMar,"Cozy Brooklyn spot, rustic charm, eclectic music, diverse crowd."
The Archway Bar & Grill,"Airy, high-ceilinged coffee shop with healthy sandwiches, salads & breakfast fare."
68 Jay Street Bar,"Mellow neighborhood meeting place for Dumbo locals serving wines, beers & spirits."
Gair,"Cozy, bohemian bar with eclectic music; young, creative crowd."
Dumbo Station,"chic industrial vibe, eclectic music, diverse young professionals' hangout."
Love & Dough,"Cozy, authentic Italian; relaxed vibe; indie music; diverse crowd."
Olympia,"Trendy, vibrant bar with eclectic music, young diverse crowd, welcoming."
The Rat NYC,"Vintage dive bar, gritty ambiance, punk rock music, eclectic young crowd."
BEEPUBLIC,"Lively, industrial-chic, eclectic music, diverse crowd, creative cocktails."
Nobody Told Me,"A playful craft cocktail list is paired with elevated, global snacks & mains in a casual setting."
Water St. Tavern,"Cozy, lively pub with diverse crowd; plays classic rock and indie."
Social Cues The Gallery,"Chic ambiance, eclectic art, trendy crowd, DJ music, upscale, vibrant atmosphere."
Vinegar Hill House,"Seasonal New American cooking served in a cozy, salvaged-decor setting with a garden."
Maloya,"Cozy, lively atmosphere; eclectic beats; diverse crowd; vibrant nightspot."
Clara's,"Laid-back spot for wings, burgers & other classic pub eats with drink specials & TV sports."
The Little Whiskey,"Whiskey flights, beer & snacks in a simple, dark bar with flat-screen TVs & a neighborhood vibe."
Yours Sincerely,"Handsome hangout with a marble bar for on-tap cocktails, beers & wines."
Tabaré Bushwick,"Trendy, eclectic Bushwick bar; cozy vibe, diverse crowd, indie music."
Mad Tropical,"Funky, plant-filled nightclub in a warehouse with a dance hall, DJs & Latin American nibbles."
101 Wilson Bar,Local watering hole turning out beer & hot dogs in a graffiti-scrawled space with kegs for tables.
Danger Danger,"Retro-themed dive bar, grungy atmosphere, rock music, young, eclectic crowd."
The Three Diamond Door,"Unpretentious, cozy bar with leather booths offering beers on draft, cocktails & shot specials."
1127 Willoughby Ave,"Trendy, vibrant, eclectic vibe, diverse crowd, electronic beats, industrial decor."
Tipsy Bean Café & Bar,"Trendy, cozy coffeehouse; live indie bands; youthful, eclectic, relaxed crowd."
Alegria Bar and Grill,"Lively, Latin-infused spot with diverse crowd, salsa music, and vibrant atmosphere."
Nowhere Bar Lounge Restaurant,"Energetic hideaway featuring cocktails, karaoke nights & DJs spinning Latin music."
Palmetto,"Chill, speakeasy vibe, eclectic music, intimate, young professionals, dim lighting."
Carmelo’s,"Intimate, retro bar; jazz music; diverse crowd; relaxed atmosphere."
Honore Club,"Chic atmosphere, vibrant vibe, eclectic music, trendy young professionals gather."
Private Luxe Lounge by Dream Space,"High-end, exclusive lounge with upscale decor, smooth jazz, and affluent clientele."
Ops,"Comfy pizzeria serving wood-fired pies with a sourdough crust, plus natural wines & cocktails."
The Drunkie Monkey,Upscale Indian eatery & bar serving craft cocktails & bites in cozy digs with a colonial-era vibe.
Bar,"Lively NYC bar with upbeat music, trendy crowd, modern, chic atmosphere."
Ocelot,"Chic, cozy, jazz-infused bar frequented by eclectic, artsy professionals and creatives."
K&K Buffet & Cajun Seafood,"Lively ambiance, diverse crowd, upbeat music, Cajun flavors, buffet-style dining."
The Bad Old Days,"Lively hangout offering craft cocktails, draft brews & happy hour in a cozy space with game nights."
Tequila Time Bar Cafe,"lively, vibrant, Latin music, diverse crowd, energetic nightlife."
Julia's,"Cozy, chic, jazzy tunes, upscale crowd, speakeasy vibe, craft cocktails."
Freda,"Chic, intimate lounge; vintage decor; eclectic music; attracts diverse, stylish crowd."
Rolo’s,"Cozy, vintage ambiance, eclectic music, diverse patrons, and friendly vibes."
Super Pollo,"Lively bar with Latin music, vibrant atmosphere; attracts diverse young crowd."
Sundown Bar is now Cassette,"Retro, cozy, eclectic crowd, vinyl tunes, nostalgic vibes, dim lighting."
Plein Air,"Chic, vibrant atmosphere, eclectic music, diverse crowd, sophisticated vibe."
Hellbender,"Gritty, rock-themed bar; vintage decor; loud music; diverse crowd."
Mediterranean Restaurant & Bar - Relax Lounge,"Chic atmosphere, relaxed vibe, Mediterranean cuisine, lounge music, diverse clientele."
Cozy Corner,"intimate ambiance, relaxed vibe, acoustic music, diverse patrons."
Eagles Bar & Grill,"Lively sports bar, relaxed vibe, rock music, diverse crowd, enthusiastic patrons."
Walsh's Pub,"Cozy, lively, classic rock, diverse crowd, friendly neighborhood Irish charm."
Henry Street Ale House,Wash down comforting pub grub like pot pies & burgers with micro brews in a casual setting.
Henry's End,"Inventive New American cuisine featuring seasonal ingredients, including wild game, since 1973."
